ticker,price,iv,expiry,oi
SMWB,4.99,111.50%,2026-07-17,1618
QURE,46.29,110.93%,2026-07-17,1529
SMR,11.74,110.90%,2026-06-26,1391
MEI,14.02,110.86%,2026-07-17,1358
ALT,2.7,109.98%,2026-07-17,939
SGML,13.65,108.67%,2026-07-10,122
RFL,2.73,108.59%,2026-07-17,1269
NAK,2.1,108.51%,2026-07-17,3840
VWAV,4.93,108.48%,2026-07-17,459
CMPS,12.53,108.41%,2026-07-17,5921
RXRX,3.23,107.99%,2026-07-02,2216
INFQ,13.53,107.90%,2026-07-17,9862
RZLV,2.72,107.55%,2026-07-17,4455
ASPI,7.18,107.50%,2026-06-26,496
BWEN,5.03,107.41%,2026-07-17,2277
BKSY,28.99,107.20%,2026-07-17,2033
YSS,30.8,107.04%,2026-07-17,274
VOYG,37.57,107.01%,2026-07-17,1748
PTIR,11.59,106.48%,2026-07-17,213
FLY,30.95,106.47%,2026-06-26,235
CRML,10.15,106.26%,2026-06-26,3867
AUR,6.28,105.68%,2026-06-26,719
SERV,6.99,105.36%,2026-07-17,1564
REPL,10.19,105.14%,2026-07-17,4264
DUOT,13.15,104.83%,2026-07-17,188
RGTI,21.36,104.80%,2026-06-26,1604
AISP,2.9,104.16%,2026-07-17,926
BETR,28.43,103.75%,2026-07-17,397
SHLS,10.42,103.38%,2026-07-17,9019
QUBT,10.76,103.33%,2026-06-26,1396
NOK,13.49,103.09%,2026-06-26,50
BW,17.38,102.74%,2026-06-26,66
TSLL,13.16,102.55%,2026-07-24,121
HYMC,26.01,102.18%,2026-07-17,195
MRLN,6.69,101.99%,2026-07-17,2717
CEVA,49.72,101.88%,2026-07-17,931
MLTX,19.21,101.30%,2026-07-17,251
XRX,3.02,100.88%,2026-07-17,5538
QBTS,24.69,100.87%,2026-06-26,1838
LODE,4.77,100.83%,2026-07-17,2858
DNA,9.17,100.62%,2026-07-17,296
BLDP,4.37,100.58%,2026-07-17,2467
TSSI,13.56,100.32%,2026-07-17,678
ASST,14.85,100.15%,2026-07-24,233
CAI,18.47,99.77%,2026-07-17,109
UAMY,7.85,99.51%,2026-06-26,4280
TYRA,28.32,99.11%,2026-07-17,101
LUNR,22.85,99.07%,2026-07-02,55
MARA,14.22,99.01%,2026-06-26,235
USAR,24.64,98.85%,2026-07-17,629
UVXY,26.0,98.85%,2026-06-26,301
NNE,28.21,98.65%,2026-06-26,177
GRAB,3.57,98.19%,2026-07-24,925
USAS,5.36,98.05%,2026-07-17,113
PRME,3.23,97.56%,2026-07-17,2493
AMPX,16.17,96.90%,2026-06-26,434
ABAT,3.12,96.86%,2026-07-17,885
XE,21.56,96.82%,2026-07-17,366
APPS,8.61,96.66%,2026-07-17,402
GLXY,34.2,96.35%,2026-07-17,1580
LCID,5.36,96.11%,2026-06-26,1839
PLUG,2.85,96.11%,2026-07-24,119
EAF,7.71,95.84%,2026-07-17,101
TMQ,3.79,95.60%,2026-07-17,522
PL,28.23,95.38%,2026-06-26,710
NTLA,15.67,95.24%,2026-07-17,1501
HIMX,18.11,95.20%,2026-07-17,221
BITX,11.96,95.07%,2026-07-17,129
APLD,46.59,94.70%,2026-07-17,662
VIAV,47.17,94.37%,2026-07-17,2923
GEMI,4.71,94.02%,2026-06-26,838
EQPT,26.32,93.90%,2026-07-17,194
TMC,5.13,93.41%,2026-07-17,331
LFMD,4.75,93.31%,2026-07-17,427
INDI,4.25,93.08%,2026-07-17,1695
UUUU,16.56,92.63%,2026-06-26,1097
BHVN,13.57,92.59%,2026-07-17,3026
METC,13.99,92.33%,2026-07-17,446
SBET,5.29,92.19%,2026-07-17,1631
CLPT,17.77,92.16%,2026-07-17,1866
VKTX,30.38,91.74%,2026-06-26,100
EU,1.65,91.49%,2026-07-17,859
SQQQ,36.75,91.48%,2026-06-26,1654
RUN,13.52,91.08%,2026-06-26,55
KOS,2.45,91.08%,2026-07-17,9698
CHPT,8.31,90.85%,2026-07-17,111
DDD,3.57,90.58%,2026-07-17,551
NVAX,9.13,90.34%,2026-07-17,3093
RIOT,28.1,90.20%,2026-06-26,104
CRNC,10.77,89.94%,2026-07-17,265
NAIL,45.75,89.69%,2026-07-17,385
IMPP,4.89,89.63%,2026-07-17,1117
ADBG,2.73,89.50%,2026-07-17,221
AVXL,2.73,89.50%,2026-07-17,484
SMCI,30.66,89.21%,2026-06-26,781
SCO,31.84,89.00%,2026-06-26,188
PCT,8.7,88.48%,2026-07-17,3205
GRPN,16.19,88.26%,2026-07-17,3420
BLCO,14.87,88.26%,2026-07-17,59
CSIQ,16.27,88.21%,2026-07-17,282
UMC
QXO
KEEL
DOMO
BRBR
FLNC
HIMX
IEP
JKS
CAG
AMC
FCEL
PDYN
F
FRMI
